AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	cell_line	passage	replicate	source_name	treatment	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
158	SAMN05894797	contigs sra	SRX2236945	1133	440	SRR4413912	SRS1738058	GSM2341322	ZHBTC4 (OCT4 conditional)	30-40	1	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894797	contigs sra	SRX2236945	1139	442	SRR4413913	SRS1738058	GSM2341322	ZHBTC4 (OCT4 conditional)	30-40	1	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894797	contigs sra	SRX2236945	1098	441	SRR4413914	SRS1738058	GSM2341322	ZHBTC4 (OCT4 conditional)	30-40	1	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
159	SAMN05894797	contigs sra	SRX2236945	1109	446	SRR4413915	SRS1738058	GSM2341322	ZHBTC4 (OCT4 conditional)	30-40	1	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
157	SAMN05894797	sra	SRX2236945	5015	2017	SRR4413916	SRS1738058	GSM2341322	ZHBTC4 (OCT4 conditional)	30-40	1	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894796	contigs sra	SRX2236946	1023	398	SRR4413917	SRS1738059	GSM2341323	ZHBTC4 (OCT4 conditional)	30-40	2	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894796	contigs sra	SRX2236946	1033	401	SRR4413918	SRS1738059	GSM2341323	ZHBTC4 (OCT4 conditional)	30-40	2	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894796	contigs sra	SRX2236946	994	400	SRR4413919	SRS1738059	GSM2341323	ZHBTC4 (OCT4 conditional)	30-40	2	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
158	SAMN05894796	contigs sra	SRX2236946	1007	405	SRR4413920	SRS1738059	GSM2341323	ZHBTC4 (OCT4 conditional)	30-40	2	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
157	SAMN05894796	sra	SRX2236946	4606	1849	SRR4413921	SRS1738059	GSM2341323	ZHBTC4 (OCT4 conditional)	30-40	2	Embryonic stem cells, untreated control, nucRNA-seq	untreated control	RNA-Seq	PRJNA347884	GEO	public	ncbi	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2016-10-11	Mus musculus	ILLUMINA	2017-03-13	SRP091444
